sys_status::state,sys_status::sclock,sys_status::smb1_connected,sys_status::smb2_connected,sys_status::smb3_connected,sys_status::smb4_connected,sys_status::sGUI_connected,c2s_DATA::READY,c2s_DATA::FAULT,c2s_DATA::B_act,s2c_DATA::RUN,s2c_DATA::FAULT_RESET,s2c_DATA::pos_x,s2c_DATA::pos_y,s2c_DATA::pos_z,s2c_DATA::Bref_x,s2c_DATA::Bref_y,s2c_DATA::Bref_z,s2c_DATA::B_mag,mb1::CB::run_A,mb1::CB::stop_A,mb1::CB:::run_B,mb1::CB::stop_B,mb1::CB::fault_reset,mb1::CB::coil_overheat,mb1::DI::sys_ready,mb1::DI::sys_fault,mb1::DI::sys_A_run,mb1::DI::sys_B_run,mb1::DI::commun,mb1::DI::precharge_Main,mb1::DI::precharge_Aux,mb1::DI::emerg_sw_on,mb1::DI::overheat,mb1::DI::A_fault,mb1::DI::B_fault,mb1::DI::DCL_undervoltage,mb1::DI::DCL_overvoltage,mb1::DI::A_overcurrent,mb1::DI::B_overcurrent,mb1::DI::coil_overheat,mb1::IR::current_A,mb1::IR::current_B,mb1::IR::temperature,mb1::HR::current_A_ref,mb1::HR::current_B_ref,mb2::CB::run_A,mb2::CB::stop_A,mb2::CB:::run_B,mb2::CB::stop_B,mb2::CB::fault_reset,mb2::CB::coil_overheat,mb2::DI::sys_ready,mb2::DI::sys_fault,mb2::DI::sys_A_run,mb2::DI::sys_B_run,mb2::DI::commun,mb2::DI::precharge_Main,mb2::DI::precharge_Aux,mb2::DI::emerg_sw_on,mb2::DI::overheat,mb2::DI::A_fault,mb2::DI::B_fault,mb2::DI::DCL_undervoltage,mb2::DI::DCL_overvoltage,mb2::DI::A_overcurrent,mb2::DI::B_overcurrent,mb2::DI::coil_overheat,mb2::IR::current_A,mb2::IR::current_B,mb2::IR::temperature,mb2::HR::current_A_ref,mb2::HR::current_B_ref,mb3::CB::run_A,mb3::CB::stop_A,mb3::CB:::run_B,mb3::CB::stop_B,mb3::CB::fault_reset,mb3::CB::coil_overheat,mb3::DI::sys_ready,mb3::DI::sys_fault,mb3::DI::sys_A_run,mb3::DI::sys_B_run,mb3::DI::commun,mb3::DI::precharge_Main,mb3::DI::precharge_Aux,mb3::DI::emerg_sw_on,mb3::DI::overheat,mb3::DI::A_fault,mb3::DI::B_fault,mb3::DI::DCL_undervoltage,mb3::DI::DCL_overvoltage,mb3::DI::A_overcurrent,mb3::DI::B_overcurrent,mb3::DI::coil_overheat,mb3::IR::current_A,mb3::IR::current_B,mb3::IR::temperature,mb3::HR::current_A_ref,mb3::HR::current_B_ref,mb4::CB::run_A,mb4::CB::stop_A,mb4::CB:::run_B,mb4::CB::stop_B,mb4::CB::fault_reset,mb4::CB::coil_overheat,mb4::DI::sys_ready,mb4::DI::sys_fault,mb4::DI::sys_A_run,mb4::DI::sys_B_run,mb4::DI::commun,mb4::DI::precharge_Main,mb4::DI::precharge_Aux,mb4::DI::emerg_sw_on,mb4::DI::overheat,mb4::DI::A_fault,mb4::DI::B_fault,mb4::DI::DCL_undervoltage,mb4::DI::DCL_overvoltage,mb4::DI::A_overcurrent,mb4::DI::B_overcurrent,mb4::DI::coil_overheat,mb4::IR::current_A,mb4::IR::current_B,mb4::IR::temperature,mb4::HR::current_A_ref,mb4::HR::current_B_ref,
2,10,1,0,1,1,0,1,1,0.500000,1,0,3.400000,5.699999,5.699999,0.500000,5.699999,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,5.699999,0.500000,5.699999,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,5.699999,5.699999,0.500000,5.699999,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,5.699999,5.699999,0.500000,0.500000,5.699999,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,5.699999,5.699999,5.699999,
0,20,1,0,1,1,0,1,1,0.500000,1,0,3.400000,6.699998,6.699998,0.500000,6.699998,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,6.699998,0.500000,6.699998,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,6.699998,6.699998,0.500000,6.699998,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,6.699998,6.699998,0.500000,0.500000,6.699998,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,6.699998,6.699998,6.699998,
2,30,1,0,1,1,0,1,1,0.500000,1,0,3.400000,7.699997,7.699997,0.500000,7.699997,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,7.699997,0.500000,7.699997,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,7.699997,7.699997,0.500000,7.699997,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,7.699997,7.699997,0.500000,0.500000,7.699997,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,7.699997,7.699997,7.699997,
0,40,1,0,1,1,0,1,1,0.500000,1,0,3.400000,8.699999,8.699999,0.500000,8.699999,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,8.699999,0.500000,8.699999,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,8.699999,8.699999,0.500000,8.699999,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,8.699999,8.699999,0.500000,0.500000,8.699999,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,8.699999,8.699999,8.699999,
2,50,1,0,1,1,0,1,1,0.500000,1,0,3.400000,9.700003,9.700003,0.500000,9.700003,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,9.700003,0.500000,9.700003,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,9.700003,9.700003,0.500000,9.700003,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,9.700003,9.700003,0.500000,0.500000,9.700003,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,9.700003,9.700003,9.700003,
0,60,1,0,1,1,0,1,1,0.500000,1,0,3.400000,10.700006,10.700006,0.500000,10.700006,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,10.700006,0.500000,10.700006,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,10.700006,10.700006,0.500000,10.700006,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,10.700006,10.700006,0.500000,0.500000,10.700006,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,10.700006,10.700006,10.700006,
2,70,1,0,1,1,0,1,1,0.500000,1,0,3.400000,11.700010,11.700010,0.500000,11.700010,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,11.700010,0.500000,11.700010,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,11.700010,11.700010,0.500000,11.700010,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,11.700010,11.700010,0.500000,0.500000,11.700010,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,11.700010,11.700010,11.700010,
0,80,1,0,1,1,0,1,1,0.500000,1,0,3.400000,12.700014,12.700014,0.500000,12.700014,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,12.700014,0.500000,12.700014,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,12.700014,12.700014,0.500000,12.700014,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,12.700014,12.700014,0.500000,0.500000,12.700014,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,12.700014,12.700014,12.700014,
2,90,1,0,1,1,0,1,1,0.500000,1,0,3.400000,13.700018,13.700018,0.500000,13.700018,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,13.700018,0.500000,13.700018,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,13.700018,13.700018,0.500000,13.700018,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,13.700018,13.700018,0.500000,0.500000,13.700018,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,13.700018,13.700018,13.700018,
0,100,1,0,1,1,0,1,1,0.500000,1,0,3.400000,14.700022,14.700022,0.500000,14.700022,0.500000,0.500000,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0.500000,14.700022,0.500000,14.700022,0.500000,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.500000,14.700022,14.700022,0.500000,14.700022,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,14.700022,14.700022,0.500000,0.500000,14.700022,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.500000,0.500000,14.700022,14.700022,14.700022,
