0,mb1::CB::run_A,mb1::CB::stop_A,mb1::CB:::run_B,mb1::CB::stop_B,mb1::CB::fault_reset,mb1::CB::coil_overheat,dummy,dummy,mb1::DI::sys_ready,mb1::DI::sys_fault,mb1::DI::sys_A_run,mb1::DI::sys_B_run,mb1::DI::commun,mb1::DI::precharge_Main,mb1::DI::precharge_Aux,mb1::DI::emerg_sw_on,mb1::DI::overheat,mb1::DI::A_fault,mb1::DI::B_fault,mb1::DI::DCL_undervoltage,mb1::DI::DCL_overvoltage,mb1::DI::A_overcurrent,mb1::DI::B_overcurrent,mb1::DI::coil_overheat,mb1::IR::current_A,mb1::IR::current_B,mb1::IR::temperature,mb1::HR::current_A_ref,mb1::HR::current_B_ref
0,bool,bool,bool,bool,bool,bool,dummy,dummy,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,float,float,float,float,float
1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0.3,0.1,26.7,0.1,0.7
2,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,0.9,26.7,0.1,0.7
3,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,1.7,26.7,0.1,0.7
4,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,2.5,26.7,0.1,0.7
5,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,3.3,26.7,0.1,0.7
6,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,4.1,26.7,0.1,0.7
7,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,4.9,26.7,0.1,0.7
8,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,5.7,26.7,0.1,0.7
9,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,6.5,26.7,0.1,0.7
10,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,7.3,26.7,0.1,0.7
11,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,8.1,26.7,0.1,0.7
12,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,8.9,26.7,0.1,0.7
13,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,9.7,26.7,0.1,0.7
14,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,10.5,26.7,0.1,0.7
15,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,11.3,26.7,0.1,0.7
16,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,12.1,26.7,0.1,0.7
17,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,12.9,26.7,0.1,0.7
18,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,13.7,26.7,0.1,0.7
19,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,14.5,26.7,0.1,0.7
20,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,15.3,26.7,0.1,0.7
21,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,16.1,26.7,0.1,0.7
22,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,16.9,26.7,0.1,0.7
23,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,17.7,26.7,0.1,0.7
24,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,18.5,26.7,0.1,0.7
25,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,19.3,26.7,0.1,0.7
26,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,20.1,26.7,0.1,0.7
27,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,20.9,26.7,0.1,0.7
28,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,21.7,26.7,0.1,0.7
29,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,22.5,26.7,0.1,0.7
30,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,23.3,26.7,0.1,0.7
31,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,24.1,26.7,0.1,0.7
32,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,24.9,26.7,0.1,0.7
33,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,25.7,26.7,0.1,0.7
34,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,26.5,26.7,0.1,0.7
35,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,27.3,26.7,0.1,0.7
36,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,28.1,26.7,0.1,0.7
37,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,28.9,26.7,0.1,0.7
38,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,29.7,26.7,0.1,0.7
39,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,30.5,26.7,0.1,0.7
40,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,31.3,26.7,0.1,0.7
41,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,32.1,26.7,0.1,0.7
42,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,32.9,26.7,0.1,0.7
43,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,33.7,26.7,0.1,0.7
44,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,34.5,26.7,0.1,0.7
45,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,35.3,26.7,0.1,0.7
46,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,36.1,26.7,0.1,0.7
47,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,36.9,26.7,0.1,0.7
48,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,37.7,26.7,0.1,0.7
49,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,38.5,26.7,0.1,0.7
50,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,39.3,26.7,0.1,0.7
51,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,40.1,26.7,0.1,0.7
52,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,40.9,26.7,0.1,0.7
53,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,41.7,26.7,0.1,0.7
54,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,42.5,26.7,0.1,0.7
55,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,43.3,26.7,0.1,0.7
56,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,44.1,26.7,0.1,0.7
57,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,44.9,26.7,0.1,0.7
58,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,45.7,26.7,0.1,0.7
59,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,46.5,26.7,0.1,0.7
60,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,47.3,26.7,0.1,0.7
61,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,48.1,26.7,0.1,0.7
62,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.3,48.9,26.7,0.1,0.7
